name,label,price_guarantee_days,id,created_date,updated_date,created_by_id,is_sample
"ikea","IKEA","90","68aa2a6f48dbadf5a6aecdcd","2025-08-23T20:54:07.112000","2025-08-24T18:34:03.573000","6876aec99255670e28843752",""
"ebay","eBay","30","68aa2a6f48dbadf5a6aecdc7","2025-08-23T20:54:07.112000","2025-08-23T20:54:07.112000","6876aec99255670e28843752",""
"bestbuy","Best Buy","30","68aa2a6f48dbadf5a6aecdca","2025-08-23T20:54:07.112000","2025-08-24T20:59:16.514000","6876aec99255670e28843752",""
"costco","Costco","30","68aa2a6f48dbadf5a6aecdcb","2025-08-23T20:54:07.112000","2025-08-23T20:55:35.773000","6876aec99255670e28843752",""
"walmart","Walmart","30","68aa2a6f48dbadf5a6aecdc8","2025-08-23T20:54:07.112000","2025-08-23T20:55:24.049000","6876aec99255670e28843752",""
"target","Target","30","68aa2a6f48dbadf5a6aecdc9","2025-08-23T20:54:07.112000","2025-08-24T20:59:34.102000","6876aec99255670e28843752",""
"sams_club","Sam's Club","30","68aa2a6f48dbadf5a6aecdcc","2025-08-23T20:54:07.112000","2025-08-23T20:55:42.135000","6876aec99255670e28843752",""
"amazon","Amazon","30","68aa2a6f48dbadf5a6aecdc6","2025-08-23T20:54:07.112000","2025-08-23T20:54:07.112000","6876aec99255670e28843752",""
"other","Other","30","68aa2a6f48dbadf5a6aecdce","2025-08-23T20:54:07.112000","2025-08-28T20:33:22.172000","6876aec99255670e28843752",""
"apple","Apple","30","68aa2c0c9c2d3c674c7a0fa0","2025-08-23T21:01:00.868000","2025-08-23T21:01:00.868000","6876aec99255670e28843752",""
"macys","Macy's","30","68aa46b87c5f050169ea2aaf","2025-08-23T22:54:48.449000","2025-08-23T22:54:48.449000","6876aec99255670e28843752",""
"ashleyfurniture","Ashley Furniture","30","68aa46f9d4ccc5e2d9b087fe","2025-08-23T22:55:53.151000","2025-08-23T22:55:53.151000","6876aec99255670e28843752",""
"nike","Nike","30","68aa95ce72f945c827664f40","2025-08-24T04:32:14.412000","2025-08-24T04:32:14.412000","6876aec99255670e28843752",""
